"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","locality","individualCount","occurrenceRemarks","infraspecificEpithet","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","barcode","identifiedBy","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"11","2021-03-31 13:41:09-03","MN","R","44758","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Rodrigues, J.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"Rodrigues, J.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:41:09-03","MN","R","35821","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Sampaio, A.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"Sampaio, A.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:41:09-03","MN","R","35822","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Hoehne, F.C.",NA,NA,NA,NA,NA,"1913","02",NA,NA,"Brasil","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,"Hoehne, F.C.",NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-31 13:41:09-03","MN","R","3218","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Araujo, F.P.L.",NA,NA,NA,NA,NA,"1888",NA,NA,NA,"Brasil","Minas Gerais","Rio Novo","-43.125301361084","-21.4575004577637",NA,NA,"Van den Berg, C.",NA,"1996","14119","auto","03","11",NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:18:46-03","UFV","VIC","012932","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis bicolor","Nichols","Heringer, E.P.","Estação Experimental",NA,"Epífita, vegorosa, encontrada nas matas inundáveis, flores ornamentais, isoladas.","bicolor","492","1941","02","19",NA,"Brasil","Minas Gerais","Cel. Pacheco",NA,NA,NA,"VIC012932",NA,"VIC012932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-20 21:18:46-03","UFV","VIC","012932","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis bicolor","Nichols","Heringer, E.P.","Estação Experimental",NA,"Epífita, vegorosa, encontrada nas matas inundáveis, flores ornamentais, isoladas.","bicolor","492","1941","02","19",NA,"Brasil","Minas Gerais","Cel. Pacheco",NA,NA,NA,"VIC012932",NA,"VIC012932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-07-05 11:14:19-03","FFCLRP","LBMBP","1174","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-07-05 11:14:19-03","FFCLRP","LBMBP","659","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","L.M. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-24 17:09:42-03","UFES","SAMES","4441","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Zampirollo,J.B.","Bairro Ideal. Orquidário do Sr. Roberson Maia.",NA,"Pétalas e sépalas lilás; labelo venoso cor de rosa. Habito: Epífita",NA,"2","2010","05","18",NA,"Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749",NA,"SAMES04441","Zampirollo,J.B.",NA,"2011","56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-24 17:09:42-03","UFES","SAMES","4442","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Zampirollo,J.B.","Orquidário do CEUNES",NA,"Flor com pétala e sepala lilás, labelo venoso cor de rosa com nervuras roxas Habito: Erva epífita",NA,"9","2013","05","27",NA,"Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749",NA,"SAMES04442",NA,NA,NA,"56510","auto",NA,NA,"-394413889.0","-192002777.0",NA,NA,NA,NA
"21","2019-08-20 10:00:54-03","UNICAMP","UEC","140317","S","Plantae","Liliopsida",NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","s/ coletor","Cultivado na Unicamp (proc. Orquidário Binot).",NA,"Cultivado na Unicamp (proc. Orquidário Binot).",NA,"s.n.",NA,NA,NA,NA,"Brazil","Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666",NA,"UEC001905",NA,"UEC001905",NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-06-27 10:26:06-03","UFES","VIES","29712","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Zampirollo, J.B.","Bairro Litorâneo.",NA,NA,NA,"9","2013","05","27",NA,"Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749",NA,"VIES029712",NA,NA,NA,"56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-08-15 09:04:37-03","UESC","UESC","21988","S","Plantae","Angiospermae","Monocotyledoneae","Florideophycidae","Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Carlos André Espolador Leitão",NA,NA,"Origem incerta. Comprada na feira de Vitória da Conquista - BA, na mão de um mateiro, em 2002, e cultivada em xaxim.; Chapas IMG_4985, 6525, 6526, 6527.",NA,"29","2012","02","17",NA,"Brasil","Bahia","Vitória da Conquista","-40.8394012451172","-14.8661003112793",NA,"UESC0021988",NA,NA,NA,"70493","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-26 01:54:40-03","MNHN","RECOLNAT_MNHN_P","P00455800","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Funck, N.|Schlim, L.","Prov. de Merida",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455800' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"3",NA,NA,"Venezuela",NA,NA,NA,NA,"hb","P00455800",NA,"P00455800_01",NA,NA,NA,NA,NA,NA,NA,"1025","5600",NA,NA
"25","2015-09-03 19:31:53-03","MNHN","RECOLNAT_MNHN_P","P00455801","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Rivière, A.","Hort. medic. [cultivé à l'Ecole de Médecine de Paris], origine Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455801' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1852","7","31",NA,"Brésil",NA,NA,NA,NA,"hb","P00455801",NA,"P00455801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-10-01 14:26:07-03","JBB","HEPH","7627","S","Plantae","Monocotyledon",NA,"Asparagales","Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Lima, IV",NA,NA,"Cultivada no Viveiro do Jardim Botânico de Brasília",NA,"37","1991","09","24","Southern America","Brasil","Espírito Santo",NA,NA,NA,NA,NA,"Silva, JBF da",NA,"2001",NA,NA,"12","03",NA,NA,NA,NA,NA,NA
"27","2020-10-01 14:26:07-03","JBB","HEPH","22193","S","Plantae","Monocotyledon",NA,"Asparagales","Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Dr.Kauskii",NA,NA,"Cultivada (BGO, Jardim Botanico de BRASÍLIA)&nf;Doação do Dr.Kauskii em Domingos Martins ES",NA,"s.n.","2005","11","23","Southern America","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,"Meneguzzo, TEC",NA,"2008","48150","auto","08","25",NA,NA,NA,NA,NA,NA
"28","2011-08-30 15:33:00-03","MO","MOBOT","2833514","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","George H. Pring",NA,NA,NA,NA,"Pring s.n.","1908","6","2","South America","Brazil",NA,NA,NA,NA,NA,NA,"B. Pabst, 2 May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2009-06-25 21:28:00-03","MO","MOBOT","2833575","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Anonymous",NA,NA,NA,NA,"Anonymous s.n.","1896","7","25","South America","Brazil",NA,NA,NA,NA,NA,NA,"G. Pabst, 2 May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","15560",NA,"Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","L. Kollmann; et al","Rio Saltinho",NA,"Epífita caída. Sépalas e pétalas rosas claras. Labelo rosa claro com listras mas escuras. Culta/Herb.",NA,"4501","2001","09","04",NA,"Brasil","Espírito Santo","Santa Teresa","-40.506944","-19.936111",NA,"MBML015560","L. Kollmann","MBML015560",NA,NA,NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA
"31","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","49381",NA,"Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","D.R. Couto","Conceição de Muqui: Santa Luzia",NA,"Holoepífita, sépalos branco com nervura central roxo-claro. Pétalos róseos, Labelo rosa nas bases e vinoso escuro no centro. Fragmento de Floresta Ombrófila Densa, propriedade do Sr. Carlos Demartini e família.",NA,"205","2004","11","10",NA,"Brasil","Espírito Santo","Mimoso do Sul","-41.480556","-20.902778",NA,"MBML049381","D.R. Couto/10-11-2004","MBML049381",NA,NA,NA,NA,NA,"41W28'50","20S54'10",NA,"836","836",NA
"32","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","516",NA,"Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","W. Emmerich","Fazenda Klabin",NA,"Curso pós-graduação, biologia das epífitas.",NA,NA,"1976","07",NA,NA,"Brasil","Espírito Santo","Conceição da Barra","-39.803889","-18.263889",NA,"MBML000516","H.Q.B. Fernandes/Mar.1988","MBML000516",NA,NA,NA,NA,NA,"39W48'14","18S15'50",NA,NA,NA,NA
"33","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","44540",NA,"Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","J. Freitas","São José do Rio Claro. Prop. Alfredo Renok, trilha próxima a caixa d'água.",NA,"(Coletada em Maio/2008, epífita estéril caída no chão). Flores rosas",NA,"122",NA,NA,NA,NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","-40.613944","-20.335175",NA,"MBML044540",NA,"MBML044540",NA,NA,NA,NA,NA,"40W36'50,2","20S20'6,63",NA,NA,NA,NA
"34","2019-06-10 10:11:22-03","FZB-BH","BHZB","2787","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis",NA,"Santos, F.M.G.","FZB/BH - Jardim Botânico - Coleção de Orquídeas",NA,"Coleção viva nº 98042. Coletada por Gabriel Fernandes.Cultivado",NA,"19","2004","01","16",NA,"Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"R.C. Mota",NA,"2008","17082","auto","04",NA,NA,NA,NA,NA,NA,NA
"35","2019-06-10 10:11:22-03","FZB-BH","BHZB","6387","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis",NA,"Santos, J.L.","Jardim Botânico da FZB/BH - Coleção",NA,"Coleção viva 2002 082. Exemplar proveniente de espécie coletada na margem do Rio Pitangui,. Doada por: R. Custódio em 28/08/2002. Mata Ciliar.",NA,NA,"2007","02","22",NA,"Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"R.C. Mota",NA,"2008","17082","auto","04",NA,NA,NA,NA,NA,NA,NA
"36","2019-06-10 10:11:22-03","FZB-BH","BHZB","2789","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis",NA,"Santos, F.M.G.","FZB/BH - Jardim Botânico - Coleção de Orquídeas",NA,"Coleção viva nº 2002089.Cultivado",NA,"20","2004","01","16",NA,"Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"R.C. Mota",NA,"2008","17082","auto","04",NA,NA,NA,NA,NA,NA,NA
"37","2016-06-27 16:10:13-03","UFPB","EAN","2525","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","L. P. Felix ; G. V. Dornelas","Orquidario Zé do Mato",NA,"Flores brancas com labelo lilás. Planta doada por José Pedro Gomes..Habitat: Epífita",NA,"99","1983",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"L. P. Felix & G. V. Dornelas",NA,"1986",NA,NA,"03","24",NA,NA,NA,NA,NA,NA
"38","2014-11-06 16:18:30-02","UFPB","EAN","2526","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis var. moreliana","Lindl.","L. P. Felix ; G. V. Dornelas",NA,NA,"Flores roxas..Habitat: Epífita","var. moreliana","100","1984","01","01",NA,"Brasil","Pernambuco","Belo Jardim","-36.4242","-8.33556",NA,NA,"L. P. Felix & G. V. Dornelas",NA,"1986","27307","auto","03","24",NA,NA,NA,NA,NA,NA
"39","2021-02-09 10:13:42-03","UENF","HUENF","3080","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Nascimento, M.T.; Pessanha, A.S.","Morro do Itaoca",NA,"Epífita em ambiente de Mata Atlântica",NA,"14","2008","02","16",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","-41.448056","-21.797222",NA,"HUENF00003082",NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,"201","201",NA
"40","2021-02-09 10:13:42-03","UENF","HUENF","3078","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Nascimento, M.T.; Pessanha, A.S.","Morro do Itaoca",NA,"Epífita em ambiente de Mata Atlântica",NA,"12","2008","02","16",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","-41.448056","-21.797222",NA,"HUENF00003080",NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,"201","201",NA
"41","2021-02-09 10:13:42-03","UENF","HUENF","3079","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Nascimento, M.T.; Pessanha, A.S.","Morro do Itaoca",NA,"Epífita em ambiente de Mata Atlântica",NA,"13","2008","02","16",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","-41.448056","-21.797222",NA,"HUENF00003081",NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,"201","201",NA
"42","2021-02-09 10:13:42-03","UENF","HUENF","3081","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Nascimento, M.T.; Pessanha, A.S.","Morro do Itaoca",NA,"Epífita em ambiente de Mata Atlântica",NA,"15","2008","02","16",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","-41.448056","-21.797222",NA,"HUENF00003083",NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,"201","201",NA
"43","2021-02-09 10:13:42-03","UENF","HUENF","11352","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Herick Viana","Maciço do Itaoca.",NA,"Coleção científica de Herick Viana",NA,NA,"2019","05","16",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","-41.3244018554688","-21.7541999816895",NA,"HUENF00012195",NA,NA,NA,"62761","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-02-25 10:11:27-03","CVRD","CVRD","3226","PreservedSpecimen","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis var. morelliana","(A.Rich.) Henfr.","Folli, D.A.","Agarrada em uma árvore, próxima ao Auditório.",NA,"<ll>dwc_commonname:</ll> Orquídea roxa","var. morelliana","1344","1991","05","03","América do Sul","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,"CVRD003226","Claudio Nicoletti Fraga","CVRD003226","2002","48094","auto","01","24",NA,NA,NA,NA,NA,NA
"45","2020-07-23 12:17:23-03","CEPLAC","CEPEC","83042","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis",NA,"J. G. Jardim","Planta cultivada no orquidario da CEPLAC/CEPEC.",NA,NA,NA,"1996","1983","11","22",NA,"Brasil","Bahia","santa luzia","-39.3342018127441","-15.4294004440308",NA,NA,"J. G. Jardim",NA,NA,"33804","auto",NA,NA,NA,NA,NA,NA,NA,"30/12/1996"
"46","2020-07-23 12:17:23-03","CEPLAC","CEPEC","5026","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis emoreliana",NA,"T. S. dos Santos","Area do CEPEC.",NA,NA,"emoreliana","381","1997","02","05",NA,"Brasil","Bahia","ILHÉUS","-39.0494003295898","-14.7889003753662",NA,NA,"G. Pabst",NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,"19/03/1972"
"47","2020-07-23 12:17:23-03","CEPLAC","CEPEC","692","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis emoreliana",NA,"R. P. Belém","Area do CEPEC.",NA,NA,"emoreliana","629","1965","04","01",NA,"Brasil","Bahia","ILHÉUS","-39.0494003295898","-14.7889003753662",NA,NA,"G. Pabst",NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,"30/01/1966"
"48","2020-07-23 12:17:23-03","CEPLAC","CEPEC","6561","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis emoreliana",NA,"R. S. Pinheiro","Banco Central.",NA,NA,"emoreliana","1145","1971","03","15",NA,"Brasil","Bahia","ILHÉUS","-39.0494003295898","-14.7889003753662",NA,NA,"G. Pabst",NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,"19/03/1972"
"49","2020-07-23 12:17:23-03","CEPLAC","CEPEC","708","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis emoreliana",NA,"R. P. Belém","Res. Florestal de Sooretama.",NA,NA,"emoreliana","1517","1965","08","09",NA,"Brasil","Espírito Santo","LINHARES","-40.0722007751465","-19.3910999298096",NA,NA,"G. Pabst",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,"30/01/1966"
"50","2020-08-20 14:54:47-03","UFSC","FLOR","61568","PreservedSpecimen","Plantae",NA,NA,"Asparagales","Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Blanco, G.D.; Carmes, A.A.","Aldeia Morro dos Cavalos.",NA,"Epífita, com flor vistosa, branca com tons de roxo no centro. Habitat: Mata, de borda",NA,"4","2015","09","24",NA,"Brasil","Santa Catarina","Palhoça","-48.661111","-27.806944",NA,"FLOR0061568","Blanco, G.D.",NA,"2016",NA,NA,"02","03","48º39'40''W","27º48'25''S",NA,"48","48",NA
"51","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Incógnit","in prov. S. Paulo",NA,NA,NA,"s.n.(Hort.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Porte, M","in Brasilia locis accuratis haud indicatis",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Riedel, L","in arboribus prov. Rio de Janeiro",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Incógnit","in prov. S. Paulo",NA,NA,NA,"s.n.(Hort.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
