"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"11","2021-04-05 14:25:32-03","UNESC","CRI","4941","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Maria Leonor de Souza D#?#el Rey","V. Citadini-Zanette; A. Gozçe, V. P. Boff",NA,"1996","09","19","Brasil","Santa Catarina","Lauro Muller","Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","450","450","CRI004297","CRI004297","1996","10","08","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:32-03","UNESC","CRI","706","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Maria Leonor de Souza D#?#el Rey","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1056","1990","10","31","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004268","CRI004268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:41-03","UNESC","CRI","1254","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin",NA,"V. Citadini-Zanette; et al.","1498","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI004256","CRI004256",NA,NA,NA,"Habitat: Floresta Ombrófila Densa Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:32-03","UNESC","CRI","12097","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Verdi, M","Verdi, M.; Klettenberg, D.H. & Klemz, G.","2891","2009","11","03","Brasil","Santa Catarina","Criciúma","Bairro Universitário (Próximo a Unesc).","-49.409167","-28.709167","49º24'33''W","28º42'33''S","50","50","CRI010275","CRI010275","2009","11","03","Florística IFFSC 41 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; borda do fragmento Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:33:41-03","UNESC","CRI","1548","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Maria Leonor de Souza D#?#el Rey","R. Negrelle; et al.","448","1992","10","11","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI004253","CRI004253",NA,NA,NA,"Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:32-03","UNESC","CRI","707","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Maria Leonor de Souza D#?#el Rey","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1057","1990","08","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004271","CRI004271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:32-03","UNESC","CRI","12098","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Oliveira, AA de","Cadorin, T.J.","365","2009","10","09","Brasil","Santa Catarina","Santo Amaro da Imperatriz","Paque Estadula da Serra do Tabuleiro - Morro da Queimada.","-48.78","-27.72","48º46'48''W","27º43'12''S","580","580","CRI010276","CRI010276","2009","12","09","Florística IFFSC 9996 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arvoreta;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:32-03","UNESC","CRI","1076","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Daniel de Barcellos Falkenberg","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1354","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004255","CRI004255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:25:32-03","UNESC","CRI","5092","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","V. C. Zanette","V. Citadini-Zanette; V. Boff","2245","1996","11","04","Brasil","Santa Catarina","Lauro Muller","Rio Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"CRI004259","CRI004259",NA,NA,NA,"Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:25:32-03","UNESC","CRI","1042","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1320","1991","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004264","CRI004264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:33:41-03","UNESC","CRI","1542","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Maria Leonor de Souza D#?#el Rey","R. Negrelle; et al.","290","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI004251","CRI004251",NA,NA,NA,"Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:25:32-03","UNESC","CRI","6543","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Dolores Bosa","Dolores Bosa; Magali Romagna",NA,"1999","10","17","Brasil","Santa Catarina","Morro Grande","Nova Roma.","-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"CRI004263","CRI004263","1999","10","17","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:25:32-03","UNESC","CRI","3784","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Vanilde Citadini- Zanette","Maria Costa Rebelo","2022","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004265","CRI004265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:25:32-03","UNESC","CRI","5093","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin",NA,"V. Citadini-Zanette; V. P. Boff",NA,"1996","11","08","Brasil","Santa Catarina","Siderópolis","Rio Fiorita.","-49.425278","-28.598889","49º25'31''W","28º35'56''S","112","112","CRI004298","CRI004298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-05 14:25:32-03","UNESC","CRI","9264","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin",NA,"Mainara F. Cascaes; Birgit Harter Marques",NA,"2007","09","01","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S","30","30","CRI004273","CRI004273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-04-05 14:33:41-03","UNESC","CRI","5207","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Maria Leonor de Souza D#?#el Rey","V. Citadini-Zanette; V. Boff & A. Gozçe.","2358","1996","09","20","Brasil","Santa Catarina","Urussanga","Santana.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","CRI004266","CRI004266",NA,NA,NA,"Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-04-05 14:25:32-03","UNESC","CRI","5215","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","Maria Leonor de Souza D#?#el Rey","V. Citadini-Zanette; V. Boff & A. Gozçe.","2366","1996","09","19","Brasil","Santa Catarina","Lauro Muller","Rio Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"CRI004261","CRI004261",NA,NA,NA,"Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-09-23 10:41:33-03","E","E","82957","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana",NA,NA,"Silva, J.M., Ribas, O.S. & Deodato, F.","1725","1996","09","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00082957",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00082957 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:91418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-09-23 10:41:33-03","E","E","83892","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana",NA,NA,"Munhoz, C. & Prosel, L.M. Jr.","290","1995","09","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00083892",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083892 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","522209","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","R. Goldenberg","F. Sellow","s.n.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00522209","NY00522209_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339377' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","522457","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","R. Goldenberg","B. Rambo","48731","1950","09","07","Brazil","Rio Grande do Sul","Sao Leopoldo","Sapucaia p. Sao Leopoldo","-51.1469","-29.7606",NA,NA,NA,NA,"NY00522457","NY00522457_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527726' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","522217","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","A. C. Brade","W. G. F. Herter","96505","1935","10","02","Brazil","Rio Grande do Sul","Sao Leopoldo",NA,"-51.1469","-29.7606",NA,NA,NA,NA,"NY00522217","NY00522217_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339353' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","229370","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana pubescens","Cogn.",NA,"J. B. E. Pohl","190",NA,NA,NA,"Brazil","Minas Gerais",NA,"In fruticetis Villa da Barbucena",NA,NA,NA,NA,NA,NA,"NY00229370","NY00229370_01",NA,NA,NA,"Collector noted on label only as Pohl <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478484' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales","pubescens","isosyntype",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02514755","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin",NA,"R. Goldenberg","2212","2015","05","29","Brazil","Espírito Santo",NA,"Alto Caparaó, Parque Nacional do Caparaó, estrada entre Macieira e Casa Queimada.",NA,NA,NA,NA,NA,NA,"NY02514755","NY02514755_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2745646' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","02514434","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin",NA,"R. Goldenberg","1703","2013","12","31","Brazil","Espírito Santo","Vargem Alta","Refúgio Richimond, Floresta Montana sobre saibro branco.","-40.947307","-20.682908",NA,NA,NA,NA,"NY02514434","NY02514434_01",NA,NA,NA,"[Invalid Lat.: -20,682908. Invalid Long.: -40,947307. No direction provided.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2745609' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","522215","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","J. J. Wurdack","E. Henz","35386","1946","11","17","Brazil","Rio Grande do Sul","Sao Leopoldo","Sao Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"NY00522215","NY00522215_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339352' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00925253","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","J. J. Wurdack","H. S. Irwin","29169","1971","01","26","Brazil","Minas Gerais",NA,"Serra do Espinhaço, base of Serra da Caraça","-43.4927778","-20.1263",NA,NA,"1500","1750","NY00925253","NY00925253_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996221' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00925251","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","R. Goldenberg","R. Goodland","964","1967",NA,NA,"Brazil","Minas Gerais",NA,"Triângulo region.",NA,NA,NA,NA,NA,NA,"NY00925251","NY00925251_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996195' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","522206","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","F. C. Hoehne","F. C. Hoehne","28149","1931","09","09","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"NY00522206","NY00522206_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339372' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","522204","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","G. G. Hatschbach","G. G. Hatschbach","16873","1967","08","02","Brazil","Paraná","Campina Grande do Sul","Sítio Belizarioa","-49.0553","-25.3058",NA,NA,"800","800","NY00522204","NY00522204_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339376' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00925250","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","R. Romero","R. Romero","4454","1997","08","21","Brazil","Minas Gerais","São Roque de Minas","Cachoeira dos Rolinhos, Parque Nacional da Serra da Canastra.","-46.559668","-20.169939",NA,NA,NA,NA,"NY00925250","NY00925250_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996186' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00925254","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin",NA,"J. A. Ratter","R.2609","1972","10","10","Brazil","Distrito Federal","Brasília","Nr. Brasília. E of the lake on the road to the prison.","-47.83","-15.85",NA,NA,NA,NA,"NY00925254","NY00925254_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996224' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","522208","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","J. J. Wurdack","R. A. Wasum","8689","1992","09","28","Brazil","Rio Grande do Sul","Novo Hamburgo","Novo Hamburgo; Parque Municipal","-51.109653","-29.681996",NA,NA,"30","30","NY00522208","NY00522208_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339367' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","522421","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","R. Goldenberg","J. B. E. Pohl","69et 89",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"In fruticetis umbrosis ad Padre Correa",NA,NA,NA,NA,NA,NA,"NY00522421","NY00522421_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527700' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","522211","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","G. G. Hatschbach","G. G. Hatschbach","24462","1970","07","16","Brazil","Paraná","Balsa Nova","Serra S. Luis","-49.6356","-25.5842",NA,NA,"1000","1000","NY00522211","NY00522211_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339374' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","00925249","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","R. Romero","R. Romero","1383","1994","10","18","Brazil","Minas Gerais","Sacramento","Próximo a guarita de Sacramento, estrada para São Roque de Minas.","-47.4397","-19.8656",NA,NA,NA,NA,"NY00925249","NY00925249_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996181' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-15 16:37:00-03","NY","NYBG","522213","PreservedSpecimen","Plantae","Melastomataceae","Miconia","sellowiana","Miconia sellowiana","Naudin","A. C. Brade","B. Rambo","621","1933","07","27","Brazil","Rio Grande do Sul","Sao Sebastiao do Caí","Caí, Mariquinhas","-51.3756","-29.5869",NA,NA,NA,NA,"NY00522213","NY00522213_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339354' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
