"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","typeStatus","relatedCatalogItem","sex"
"11","2021-03-04 11:04:47-03","UFRB","HURB","6738","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Aona, L.Y.S.; Biggs, N.; Costa, I.R.; Duarte, E.; Fonseca, W.O.; Lucas, E.; Monro, A.","2013","03","03","Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova; Setor oeste, Fazenda Lagedão","-40.129444","-14.412778","40°07'46 W","14°24'46 S",NA,NA,"SEMINOTECA.",NA,"2223c",NA,NA,"HURB000006738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-19 11:17:55-03","UFG","UFG","12383","S","Plantae",NA,NA,"Cactaceae","Opuntia","werneri","Opuntia werneri","Egli","Esteves-Pereira, E.","Esteves-Pereira, E.","1984","08",NA,"Brasil","Bahia",NA,"Região de caatinga perto de Seabra.",NA,NA,NA,NA,NA,NA,"Material em meio liquido.",NA,"230",NA,NA,"UFG0012383",NA,"2001","11",NA,NA,"30",NA,NA,NA,NA
"13","2021-01-26 13:53:04-03","IMA","MAC","15462","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M.V.Meiado","E. de Melo; et al.","1997","09","28","Brasil","Bahia","Iaçu","Morro do Coité, interior da mata da base.","-40.210642","-12.772075","-40.210642","-12.772075",NA,NA,"Arbusto ca. de 1,5m de altura. Fruto imaturo amarelo esverdeado.",NA,"2259",NA,NA,"MAC0015462","MAC0015462","2010","11",NA,NA,"11",NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","762355","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Opuntia","werneri","Opuntia werneri","Eggli","Taylor, N. P.; Zappi, D. C.","J. N. Rose & P. G. Russell","1915","6","25","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"20051","South America - Neotropics",NA,"US00181537","US00181537_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA
"15","2020-09-02 16:22:36-03","Cenargen","CEN","82615","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M. R. Santos","Victor Vinícius F. Lima","2012","10","27","Brasil","BA","JEREMOABO","ESEC Raso da Catarina. Estrada sentido à Pororoca.","-38.4808006286621","-10.0749998092651",NA,NA,"82715","1","Savana Estépica. Área prioritária para conservação. CA-414-Raso da Catarina-1-1 Extremamente alta. Palma. Arbustivo com cerca de 1 m de altura. Flores com antese diurna. Frutos carnosos. Doação HERBÁRIO VALE DO SÃO FRANCISCO - HVASF - Universidade Federal do Vale do São Francisco nº 18015.","auto","63",NA,"Exsicatas","CEN00082615","CEN00082615","2012","10","635","635",NA,NA,NA,NA,NA
"16","2019-11-13 11:17:26-03","USP","SPF","174665","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","Anônimo","Souza, ER","2002","04","25","Brasil","Bahia","Santa Inês",NA,"-39.813333","-13.307222","-39.813333","-13.307222",NA,NA,NA,NA,"250",NA,NA,"SPF00174665",NA,NA,NA,"480","480",NA,NA,NA,NA,NA
"17","2019-11-13 11:17:26-03","USP","SPF","80927","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","Zappi, DC","Harley, RM","1988","10","18","Brasil","Minas Gerais","Pedra Azul",NA,"-41.366667","-15.95","-41.366667","-15.95",NA,NA,NA,NA,"25187",NA,NA,"SPF00080927",NA,"2004",NA,"650","650",NA,NA,NA,NA,NA
"18","2019-10-07 09:18:47-03","UEFS","HUEFS","60592","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","D.Zappi","Queiroz, L.P.de","2002","06","15","Brasil","Bahia","Livramento do Brumado","Ca. 6 km W da estrada Livramento para Brumado, entrando ca. 13,4 Km S de Livramento.","-41.834444","-13.788056","41W50'4''","13S47'17''",NA,NA,"Caatinga arbórea com solo arenoso.",NA,"7072",NA,NA,"HUEFS0060592","HUEFS0060592","2003","10","498","498",NA,"Caryophyllanae",NA,NA,NA
"19","2019-10-07 09:18:47-03","UEFS","HUEFS","192362","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Lima, V.V.F.","2012","10","27","Brasil","Bahia","Paulo Afonso","ESEC Raso da Catarina, Estrada sentido a Pororoca.","-38.681389","-9.780556","38W40'53''","9S46'50''",NA,NA,NA,NA,"63",NA,NA,"HUEFS0192362","HUEFS0192362",NA,NA,"635","635",NA,"Caryophyllanae",NA,NA,NA
"20","2019-10-07 09:18:47-03","UEFS","HUEFS","14376","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M.Machado","Santos, F.A.R.","1993","11","13","Brasil","Pernambuco","Alagoinhas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"74",NA,NA,"HUEFS0014376","HUEFS0014376","2010","12",NA,NA,NA,"Caryophyllanae",NA,NA,NA
"21","2019-10-07 09:18:47-03","UEFS","HUEFS","137972","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Melo, E.","2008","07","10","Brasil","Bahia","Morro do Chapéu","Buraco do Posidônio.","-41.270278","-11.645833","41W16'13''","11S38'45''",NA,NA,"Caatinga.",NA,"5818",NA,NA,"HUEFS0137972","HUEFS0137972",NA,NA,"980","980",NA,"Caryophyllanae",NA,NA,NA
"22","2019-10-07 09:18:47-03","UEFS","HUEFS","137996","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Melo, E.","2008","07","10","Brasil","Bahia","Morro do Chapéu","Buraco do Posidônio.","-41.270278","-11.645833","41W16'13''","11S38'45''",NA,NA,"Caatinga.",NA,"5842",NA,NA,"HUEFS0137996","HUEFS0137996",NA,NA,"980","980",NA,"Caryophyllanae",NA,NA,NA
"23","2019-10-07 09:18:47-03","UEFS","HUEFS","151761","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M.Machado","Machado, R.F.","2009","11","17","Brasil","Bahia","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,"290",NA,NA,"HUEFS0151761","HUEFS0151761","2009","10",NA,NA,NA,"Caryophyllanae",NA,NA,NA
"24","2019-10-07 09:18:47-03","UEFS","HUEFS","166846","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Machado, M.","2008","10","11","Brasil","Bahia","Morro do Chapéu","Estrada para Ventura","-40.961389","-11.665278","40W57'41''","11S39'55''",NA,NA,"carrasco",NA,"1162",NA,NA,"HUEFS0166846","HUEFS0166846",NA,NA,"718","718",NA,"Caryophyllanae",NA,NA,NA
"25","2019-10-07 09:18:47-03","UEFS","HUEFS","166850","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Machado, M.","2008","10","11","Brasil","Bahia","Morro do Chapéu","Lages, ca. 21km a oeste da cidade na rodovia BA052.","-41.339167","-11.493611","41W20'21''","11S29'37''",NA,NA,"caatinga",NA,"1166",NA,NA,"HUEFS0166850","HUEFS0166850",NA,NA,"780","780",NA,"Caryophyllanae",NA,NA,NA
"26","2019-10-07 09:18:47-03","UEFS","HUEFS","180987","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Machado, C.G.","2011","09","09","Brasil","Bahia","Morro do Chapéu","Área de caatinga arbustiva densa com afloramentos rochosos próximo à BA 052. Chapada Diamantina.","-41.331944","-11.4975","41W19'55''","11S29'51''",NA,NA,NA,NA,"105",NA,NA,"HUEFS0180987","HUEFS0180987",NA,NA,"926","926",NA,"Caryophyllanae",NA,NA,NA
"27","2019-10-07 09:18:47-03","UEFS","HUEFS","186539","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Melo, E.","2012","07","19","Brasil","Bahia","Maracás","Fazenda Canabrava, Lajedo, encosta da Serra.","-40.427222","-13.351389","40W25'38''","13S21'5''",NA,NA,"Caatinga.",NA,"11271",NA,NA,"HUEFS0186539","HUEFS0186539",NA,NA,"828","828",NA,"Caryophyllanae",NA,NA,NA
"28","2019-10-07 09:18:47-03","UEFS","HUEFS","192824","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Nascimento, J.G.A.do","2011","09","24","Brasil","Bahia","Ourolândia","Estrada Ourolândia para Umburanas cerca de 9 Km de Umburanas. Fazenda Vitória.","-41.083333","-10.933333","41W5'","10S56'",NA,NA,NA,NA,"623",NA,NA,"HUEFS0192824","HUEFS0192824",NA,NA,"599","599",NA,"Caryophyllanae",NA,NA,NA
"29","2019-10-07 09:18:47-03","UEFS","HUEFS","24480","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M.Machado","Melo, E.","1996","11","09","Brasil","Bahia","Itatim","Morro da Torre.","-39.7","-12.716667","39W42'","12S43'",NA,NA,"Canal de drenagem.",NA,"1831",NA,NA,"HUEFS0024480","HUEFS0024480","2003","02","340","340",NA,"Caryophyllanae",NA,NA,NA
"30","2019-10-07 09:18:47-03","UEFS","HUEFS","245814","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Cardoso, D.","2018","02","11","Brasil","Bahia","Morro do Chapéu","Lages, ca. 25 km no lado esquerdo da BA-052 sentido Irecê, plot #1 Projeto Nordeste.","-41.331111","-11.4925","41W19'52''","11S29'33''",NA,NA,"Caatinga arbustiva sobre solo arenoso.",NA,"4289",NA,NA,"HUEFS0245814",NA,NA,NA,"934","934",NA,"Caryophyllanae",NA,NA,NA
"31","2019-10-07 09:18:47-03","UEFS","HUEFS","245873","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Cardoso, D.","2018","02","15","Brasil","Bahia","Morro do Chapéu","Gruta dos Brejões, plot #2 Projeto Nordeste.","-41.410556","-11.02","41W24'38''","11S1'12''",NA,NA,"Caatinga árborea, sobre solo arenoso raso com afloramento calcário.",NA,"4348",NA,NA,"HUEFS0245873","HUEFS0245873",NA,NA,"629","629",NA,"Caryophyllanae",NA,NA,NA
"32","2019-10-07 09:18:47-03","UEFS","HUEFS","247380","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"Santos, A.K.A.",NA,NA,NA,"Brasil","Bahia","Boa Nova","Lajedo da Porangaba.","-40.252778","-14.3225","40W15'10''","14S19'21''",NA,NA,"Vegetação de afloramento rochoso, rodeado por mata de cipó.",NA,"1524",NA,NA,"HUEFS0247380","HUEFS0247380",NA,NA,"935","935",NA,"Caryophyllanae",NA,NA,NA
"33","2019-11-01 16:07:28-03","UEFS","HUEFS","252559","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy",NA,"E. Melo","2018","09","24","Brasil","Bahia","Morro do Chapeu","Comunidade Cristal. Buraco da Duda ou Buracão. Afloramento de calcário.","-41.305","-11.828611","41W18'18''","11S49'43''",NA,NA,"Caatinga",NA,"13803",NA,NA,"HUEFS0252559",NA,NA,NA,"662","662",NA,"Caryophyllanae",NA,NA,NA
"34","2019-10-07 09:18:47-03","UEFS","HUEFS","29996","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M.Machado","Melo, E.","1997","09","28","Brasil","Bahia","Iaçu","Morro do Coité.","-39.899167","-12.755","39W53'57''","12S45'18''",NA,NA,"Mata da base.",NA,"2259",NA,NA,"HUEFS0029996","HUEFS0029996","2003","02",NA,NA,NA,"Caryophyllanae",NA,NA,NA
"35","2019-10-07 09:18:47-03","UEFS","HUEFS","41714","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M.Machado","Taylor, N.","1991","02","04","Brasil","Bahia","Jequié","41.5 Km E of Porto Alegre towards Jequie, flatish granitic (gneissic).","-40.083333","-13.85","40W5'","13S51'",NA,NA,NA,NA,"1555",NA,NA,"HUEFS0041714",NA,"2008","10",NA,"610",NA,"Caryophyllanae","Isótipo",NA,NA
"36","2019-10-07 09:18:47-03","UEFS","HUEFS","59751","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","D.Zappi","Souza, E.R.de","2002","04","25","Brasil","Bahia","Santa Inês","ca. 1,7km de Santa Inês, na estrada em direção a Cravolândia, na entrada para a Serra deZé do Coito.","-39.813333","-13.307222","39W48'48''","13S18'26''",NA,NA,"Caatinga.",NA,"250",NA,NA,"HUEFS0059751","HUEFS0059751","2003","10","480","480",NA,"Caryophyllanae",NA,NA,NA
"37","2019-10-07 09:18:47-03","UEFS","HUEFS","13270","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M.Machado","Santos, F.A.R.","1991","10","24","Brasil","Pernambuco","Caruaru",NA,"-35.9761009216309","-8.28332996368408",NA,NA,"35136",NA,NA,"auto","11",NA,NA,"HUEFS0013270","HUEFS0013270","2003","02",NA,NA,NA,"Caryophyllanae",NA,NA,NA
"38","2019-10-07 09:18:47-03","UEFS","HUEFS","13624","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M.Machado","Queiroz, L.P.de","1993","06","29","Brasil","Bahia","Maracás",NA,"-40.4308013916016","-13.4411001205444",NA,NA,"50558",NA,NA,"auto","3260",NA,NA,"HUEFS0013624","HUEFS0013624","2010","12",NA,NA,NA,"Caryophyllanae",NA,NA,NA
"39","2020-07-23 12:01:23-03","CEPLAC","CEPEC","51230","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri",NA,"M. V. Meiado","N. P. Taylor","1991","02","07","Brasil","Bahia","RUY BARBOSA","1.5Km ao SW da cidade, Rod. Itaberaba/Seabra (via Morro das Flores) à direita depois da travessiai do Rio Viração.","-40.4939002990723","-12.2839002609253",NA,NA,"68639",NA,NA,"auto","1568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paratipo","09/12/2010",NA
"40","2020-07-23 12:01:23-03","CEPLAC","CEPEC","48799","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri",NA,"M. V. Meiado","U. Eggli","1988","08","22","Brasil","Bahia","RUY BARBOSA","Ao SW da idade (estrada para Morro das Flores) à direita depois da ponte sobre o Rio Viração.","-40.4939002990723","-12.2839002609253",NA,NA,"68639",NA,NA,"auto","1259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paratipo","09/12/2010",NA
"41","2020-07-23 12:01:23-03","CEPLAC","CEPEC","51242","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri",NA,"M. V. Meiado","N. P. Taylor","1991","02","04","Brasil","Bahia","JEQUIÉ","41.5Km ao E de Porto Alegre, arredores de Jequie.","-40.0835990905762","-13.8575000762939",NA,NA,"49443",NA,NA,"auto","1555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holótipo","09/12/2010",NA
"42","2021-04-05 12:31:36-03","UNIVASF","HVASF","18015","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","werneri","Tacinga werneri","(Eggli) N.P.Taylor & Stuppy","M.R. Santos","V.V.F. Lima","2012","10","27","Brasil","Bahia","Jeremoabo","ESEC Raso da Catarina, Estrada sentido à Pororoca",NA,NA,"9999.000000","9999.000000",NA,NA,"Cacto com hábito arbustivo e cerca de 1 metro de altura. Flores vermelhas com antese diurna. Frutos carnosos.",NA,"63","América do Sul",NA,"HVASF018015",NA,"2012","10","635","635","27",NA,NA,NA,"U"
