"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","continentOcean","verbatimLongitude","verbatimLatitude","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters"
"12","2020-12-11 11:45:33-03","UFMG","BHCB","144440","PreservedSpecimen","Plantae","Monocotyledon","Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.",NA,"2017","02","23",NA,"Mota, NFO; Thode, VA; Lu-Irving, P; Toledo, MM","1763","2010","11","13","Brasil","Minas Gerais","Serra do Cabral",NA,"-44.264722","-17.700278",NA,"BHCB040797",NA,NA,"Southern America","-44.264722","-17.700278","Erva terrestre, cespitosa, dispersando.; Brejo.","1125","1125"
"13","2020-12-11 11:45:33-03","UFMG","BHCB","191523","PreservedSpecimen","Plantae","Monocotyledon","Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.",NA,"2018","08","10",NA,"Paiva, JAM; Souza, JAM; Silva, SHA","1658","2018","02","20","Brasil","Minas Gerais","Raposos","Fazenda Cutão","-43.749722","-20.018333",NA,"BHCB191523",NA,NA,"Southern America","-43.749722","-20.018333","Erva, 0,55 m. Flor amarela. Solo hidromórfico.; Campo Rupestre Quartzítico","1192","1192"
"14","2020-12-11 11:45:33-03","UFMG","BHCB","198206","PreservedSpecimen","Plantae","Monocotyledon","Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.",NA,"2018","04","19","Paratypus","Wanderley, MGL","s.n.","1978","07","04","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 98 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro","-43.714444","-19.168889",NA,"BHCB198206","BHCB198206",NA,"Southern America","-43.714444","-19.168889","CFSC5487",NA,NA
"15","2020-12-11 11:45:33-03","UFMG","BHCB","48577","PreservedSpecimen","Plantae","Monocotyledon","Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.",NA,"2018","12",NA,NA,"Nogueira, MM; et al.","s.n.","1999","07","10","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto.","-43.3908004760742","-18.0041999816895","26697","BHCB049157",NA,"auto","Southern America",NA,NA,"Flores amarelas, erva; Campo rupestre",NA,NA
"16","2016-07-25 15:01:53-03","UNIOESTE","UNOP","3298","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D. Lozano & Wand.","Lozano, E.D.","2016","02","25",NA,"Liesenfeld, V.; Souza, T.; Cavali, A.P.; Bernardon, E.; Silva, S.M.; Souza, T.; Cavali, A.P.; Bernardon, E.; Silva, S.M.","7","2015","03","26","Brasil","Paraná","Tibagi","Parque Estadual do Guartelá","-50.4136009216309","-24.5093994140625","56988",NA,NA,"auto",NA,NA,NA,"Herbácea. Folhas dísticas, lâminas foliares achatadas, inflorescência castanho-clara.",NA,NA
"17","2019-11-21 10:19:55-03","IBt","SP","244719","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.","Wanderley, MGL","2018","04","19","Paratype","Heringer, EP; Castellanos, A","22007","1958","03","03","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,"SP003978","SP003978",NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 10:19:55-03","IBt","SP","467910","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.","Wanderley, MGL","2018","04","06","Isotype","Lozano, ED; Saridakis, DP","2682","2014","03","11","Brasil","Paraná","Ponta Grossa","Capão da Onça. Faz. Pinheirinhos","-50.025278","-25.102222",NA,"SP003974","SP003974",NA,NA,"-50.025278","-25.102222",NA,NA,NA
"19","2019-11-21 10:19:55-03","IBt","SP","467911","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.","Wanderley, MGL","2018","04","19","Paratype","Lozano, ED; Saridakis, DP","2642","2014","03","11","Brasil","Paraná","Ponta Grossa","Parque Nacional dos Campos Gerais, Cachoeira São Jorge","-50.055556","-25.034444",NA,"SP003977","SP003977",NA,NA,"-50.055556","-25.034444",NA,NA,NA
"20","2019-11-21 10:19:55-03","IBt","SP","154389","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.","Wanderley, MGL","2018","04","19","Paratype","Wanderley, MGL","CFSC5487","1978","07","04","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 98 da rodovia Belo Horizonte - Conceição do Mato Dentro","-43.7144012451172","-19.1688995361328","26557","SP003976","SP003976","auto",NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:19:55-03","IBt","SP","499919","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.","Wanderley, MGL","2018","06","05","Paratype","Silva, GO; et al.","31","2008","01","20","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Trilha da Vellozia gigantea","-43.7144012451172","-19.1688995361328","26557","SP004046","SP004046","auto",NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:19:55-03","IBt","SP","499918","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.","Wanderley, MGL","2016","09","14","Paratype","Silva, GO; et al.","32","2008","01","20","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Trilha da Vellozia gigantea","-43.7144012451172","-19.1688995361328","26557","SP004042","SP004042","auto",NA,NA,NA,NA,NA,NA
"23","2021-01-21 15:30:05-03","IBt","SP","498058","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.",NA,NA,NA,NA,NA,"Mota, NFO","884","2007","09","09","Brasil","Minas Gerais","São Gonçalo do Rio Preto",NA,"-43.3908004760742","-18.0041999816895","26697",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"24","2021-01-21 15:30:05-03","IBt","SP","497959","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.",NA,NA,NA,NA,NA,"Mota, NFO","818","2007","07","11","Brasil","Minas Gerais","São Gonçalo do Rio Preto",NA,"-43.3908004760742","-18.0041999816895","26697",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"25","2021-01-21 15:30:05-03","IBt","SP","497958","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.",NA,NA,NA,NA,NA,"Mota, NFO","1405","2008","08","29","Brasil","Minas Gerais","São Gonçalo do Rio Preto",NA,"-43.3908004760742","-18.0041999816895","26697",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:19:55-03","IBt","SP","396422","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.","Wanderley, MGL","2018","04","19","Paratype","Wanderley, MGL; et al.","2579","2007","05","22","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Subida para Chapada do Couto","-43.3908004760742","-18.0041999816895","26697","SP003975","SP003975","auto",NA,NA,NA,NA,NA,NA
"27","2021-01-07 09:34:38-03","IBt","SP","453952","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.",NA,NA,NA,NA,"Paratype","Lozano, ED","2516","2013","12","20","Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545","46557",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"28","2020-10-22 10:13:55-03","IBt","SP","345120","S","Plantae",NA,"Xyridaceae","Xyris","cervii","Xyris cervii","E.D.Lozano & Wand.",NA,NA,NA,NA,"Paratype","Prata, AP","863","2000","04","26","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516","27729",NA,NA,"auto",NA,NA,NA,NA,NA,NA
